TRACT,PCSA_City,Ambulatory_Care_Sensitive_Condition_Discharges,Beneficiary_Population
158402,SHOREHAM,11,416
145605,BAY SHORE,11,236
111504,HUNTINGTON STATION,11,171
124002,LINDENHURST,12,302
122705,DEER PARK,12,310
158709,SHOREHAM,12,297
158318,PORT JEFFERSON,12,362
190705,SOUTHAMPTON,12,388
158403,PORT JEFFERSON,12,192
147902,BAYPORT,12,516
190504,WESTHAMPTON BEACH,12,315
146611,PATCHOGUE,12,254
158203,PORT JEFFERSON STATION,12,373
123401,LINDENHURST,13,235
134903,SMITHTOWN,13,152
146403,EAST ISLIP,13,209
146205,BAY SHORE,13,221
158322,PORT JEFFERSON,13,440
159300,PATCHOGUE,14,520
145603,BAY SHORE,14,263
146607,EAST ISLIP,14,270
146404,EAST ISLIP,14,217
146002,BAY SHORE,14,231
145902,BAY SHORE,14,321
145703,BAY SHORE,14,312
147601,EAST ISLIP,14,329
122406,WYANDANCH,14,263
158009,PORT JEFFERSON STATION,14,286
111804,EAST NORTHPORT,14,269
158512,SMITHTOWN,14,285
122300,MASSAPEQUA,14,263
159000,PATCHOGUE,14,322
158205,PORT JEFFERSON,14,236
146201,BAY SHORE,15,264
146204,BAY SHORE,15,315
112104,HUNTINGTON STATION,15,279
159509,SHIRLEY,15,174
124402,LINDENHURST,15,260
145602,BAY SHORE,15,302
159203,PATCHOGUE,16,607
158110,PORT JEFFERSON STATION,16,272
122502,BABYLON,16,330
146703,BAY SHORE,17,309
169703,RIVERHEAD,17,272
135201,SMITHTOWN,17,298
146300,EAST ISLIP,17,322
122901,WEST BABYLON,17,426
158010,PORT JEFFERSON STATION,17,441
123102,BABYLON,18,363
122403,WYANDANCH,18,196
158405,SHOREHAM,18,482
122707,DEER PARK,18,287
145704,BAY SHORE,18,495
158509,PORT JEFFERSON STATION,18,331
146203,BAY SHORE,18,351
135403,SMITHTOWN,18,341
159411,EAST MORICHES,18,187
134703,NORTHPORT,19,561
134704,SMITHTOWN,19,276
159201,PATCHOGUE,19,254
147100,BAY SHORE,19,381
111602,NORTHPORT,19,367
124001,LINDENHURST,20,389
158315,PORT JEFFERSON,20,504
158320,PORT JEFFERSON STATION,20,392
145804,SMITHTOWN,20,321
158408,SHOREHAM,20,171
110402,HUNTINGTON,20,414
145903,BAY SHORE,20,420
135004,SMITHTOWN,21,513
111803,EAST NORTHPORT,21,371
190502,WESTHAMPTON BEACH,21,505
158102,PORT JEFFERSON STATION,21,476
146615,PATCHOGUE,21,439
112211,SMITHTOWN,21,581
170101,GREENPORT,21,338
123701,AMITYVILLE,21,430
158804,PATCHOGUE,21,493
146604,SMITHTOWN,22,398
147001,BAY SHORE,22,380
146103,BAY SHORE,22,385
135101,SMITHTOWN,22,463
200901,EAST HAMPTON,22,755
145702,BAY SHORE,23,329
147502,EAST ISLIP,23,689
158507,PORT JEFFERSON STATION,23,290
111506,HUNTINGTON STATION,23,366
190403,HAMPTON BAYS,23,485
122404,WEST BABYLON,23,243
110801,NORTHPORT,23,372
110902,HUNTINGTON STATION,24,427
146001,BAY SHORE,24,254
146901,BABYLON,24,548
145808,SMITHTOWN,24,290
123001,WEST BABYLON,24,526
158007,PORT JEFFERSON STATION,24,179
111802,EAST NORTHPORT,24,472
135104,SMITHTOWN,24,527
159107,PATCHOGUE,25,405
201001,EAST HAMPTON,25,771
158710,SHOREHAM,25,271
146613,SMITHTOWN,25,394
122602,DEER PARK,25,486
112213,HUNTINGTON STATION,25,560
111401,HUNTINGTON STATION,25,216
124601,BABYLON,25,295
122706,DEER PARK,25,374
122902,WEST BABYLON,26,548
146105,BAY SHORE,26,376
146402,EAST ISLIP,26,403
158103,PORT JEFFERSON STATION,26,279
158705,PORT JEFFERSON,26,202
146800,BABYLON,26,576
180300,SHELTER ISLAND,26,690
190402,WESTHAMPTON BEACH,26,377
135303,SMITHTOWN,26,422
124101,LINDENHURST,26,394
190704,SOUTHAMPTON,26,859
158309,PORT JEFFERSON,26,404
158708,PORT JEFFERSON,26,264
112212,HUNTINGTON STATION,27,451
123301,AMITYVILLE,27,494
122501,WYANDANCH,27,324
110101,HUNTINGTON,27,490
145807,SMITHTOWN,27,441
159103,PATCHOGUE,27,297
135103,SMITHTOWN,27,508
111201,HUNTINGTON STATION,27,276
147702,WEST SAYVILLE,27,600
158508,PORT JEFFERSON STATION,28,533
110401,HUNTINGTON,28,484
110901,HUNTINGTON,28,380
158407,PORT JEFFERSON,28,346
124200,LINDENHURST,28,612
134907,SMITHTOWN,28,609
159408,SHIRLEY,28,280
147802,WEST SAYVILLE,28,542
134902,SMITHTOWN,28,572
158304,PORT JEFFERSON,28,801
158505,SMITHTOWN,29,478
124500,BABYLON,29,478
135208,SMITHTOWN,29,522
123002,WEST BABYLON,29,424
111505,HUNTINGTON STATION,29,677
201004,MONTAUK,29,775
111601,NORTHPORT,29,448
124602,BABYLON,30,507
112204,HUNTINGTON STATION,30,538
111704,EAST NORTHPORT,30,549
158605,PORT JEFFERSON STATION,30,459
158608,SMITHTOWN,30,361
159407,EAST MORICHES,30,382
111002,HUNTINGTON STATION,30,406
123101,BABYLON,30,426
158323,PORT JEFFERSON,31,554
158116,PORT JEFFERSON STATION,31,284
110502,HUNTINGTON,31,395
158206,PORT JEFFERSON,31,630
145701,SMITHTOWN,31,528
135301,SMITHTOWN,31,508
147003,BAY SHORE,31,822
135102,SMITHTOWN,31,560
190503,WESTHAMPTON BEACH,32,537
158107,PORT JEFFERSON STATION,32,584
158207,PORT JEFFERSON,32,828
158609,SMITHTOWN,32,371
159106,PATCHOGUE,32,321
146705,BABYLON,33,394
158607,PATCHOGUE,33,283
159602,EAST MORICHES,33,548
123801,AMITYVILLE,33,514
110501,HUNTINGTON,33,467
122802,DEER PARK,33,380
111703,NORTHPORT,33,468
112102,HUNTINGTON STATION,33,723
135304,SMITHTOWN,33,501
111300,HUNTINGTON,34,678
123900,LINDENHURST,34,424
135209,SMITHTOWN,35,508
111202,HUNTINGTON STATION,35,452
158401,SHOREHAM,35,293
146612,SMITHTOWN,35,505
158604,SMITHTOWN,35,453
135204,SMITHTOWN,35,624
146500,EAST ISLIP,35,556
147401,BAY SHORE,36,621
123802,AMITYVILLE,36,313
158321,PORT JEFFERSON,36,809
145604,BAY SHORE,36,537
110102,HUNTINGTON,37,728
158011,PORT JEFFERSON STATION,37,535
147901,BAYPORT,37,616
123402,LINDENHURST,37,546
123600,AMITYVILLE,38,708
158104,PORT JEFFERSON STATION,38,561
190708,EAST HAMPTON,38,746
201100,BAY SHORE,39,365
135002,SMITHTOWN,39,577
158802,PATCHOGUE,39,632
159105,PATCHOGUE,39,684
112210,SMITHTOWN,39,840
190601,HAMPTON BAYS,39,884
158112,PORT JEFFERSON STATION,39,426
123500,AMITYVILLE,39,795
124401,BABYLON,40,543
135003,SMITHTOWN,40,535
146106,BAY SHORE,40,596
145803,SMITHTOWN,40,832
190707,SOUTHAMPTON,40,705
159511,SHIRLEY,41,357
158001,PORT JEFFERSON STATION,41,688
158114,PORT JEFFERSON STATION,41,561
201003,EAST HAMPTON,41,673
158511,PORT JEFFERSON STATION,41,505
159410,RIVERHEAD,41,747
147200,BAY SHORE,42,533
124102,LINDENHURST,42,452
111402,HUNTINGTON STATION,42,669
158002,PORT JEFFERSON STATION,42,1005
158317,PORT JEFFERSON,42,488
147803,WEST SAYVILLE,42,569
190604,HAMPTON BAYS,43,515
110803,NORTHPORT,43,803
170001,MATTITUCK,43,1069
147501,EAST ISLIP,43,766
159406,EAST MORICHES,44,569
147701,WEST SAYVILLE,44,442
159505,SHIRLEY,44,504
111100,HUNTINGTON STATION,44,530
135401,SMITHTOWN,44,782
122603,BABYLON,44,629
159404,SHIRLEY,44,428
158510,PORT JEFFERSON STATION,45,466
159508,SHIRLEY,45,486
112001,HUNTINGTON STATION,45,537
145805,SMITHTOWN,45,560
147300,BAY SHORE,45,646
135402,SMITHTOWN,45,814
170002,SOUTHOLD,46,1062
190800,SOUTHAMPTON,46,996
122601,DEER PARK,46,612
190603,HAMPTON BAYS,47,805
159506,SHIRLEY,47,509
159108,PATCHOGUE,47,632
123702,AMITYVILLE,48,729
110200,HUNTINGTON,48,854
135205,SMITHTOWN,48,759
159412,EAST MORICHES,49,981
146614,SMITHTOWN,50,713
169701,CALVERTON,51,896
146902,BAY SHORE,51,598
111900,HUNTINGTON,51,841
158711,PORT JEFFERSON,52,558
122801,DEER PARK,53,760
190401,RIVERHEAD,54,585
158111,PORT JEFFERSON STATION,54,420
200902,EAST HAMPTON,54,935
146003,BAY SHORE,54,754
110300,HUNTINGTON,56,1024
146606,EAST ISLIP,58,869
159204,PATCHOGUE,58,546
169902,MATTITUCK,58,1026
169800,RIVERHEAD,58,724
158306,PORT JEFFERSON,58,858
147602,WEST SAYVILLE,58,983
111801,EAST NORTHPORT,59,920
158202,PORT JEFFERSON,60,942
158606,PORT JEFFERSON STATION,60,530
111701,NORTHPORT,61,688
158409,SHOREHAM,62,778
123202,AMITYVILLE,63,928
112002,HUNTINGTON STATION,63,858
158704,PORT JEFFERSON,63,1041
147804,WEST SAYVILLE,64,821
169901,RIVERHEAD,65,1214
111503,HUNTINGTON STATION,66,808
170202,SOUTHOLD,69,1289
158900,PATCHOGUE,69,736
124300,WEST BABYLON,69,826
112103,SMITHTOWN,70,815
158803,PATCHOGUE,71,541
110600,NORTHPORT,71,1329
158319,PORT JEFFERSON STATION,74,522
158308,PORT JEFFERSON STATION,75,815
190706,SOUTHAMPTON,76,756
159601,EAST MORICHES,78,1089
158502,SMITHTOWN,80,649
112214,HUNTINGTON STATION,83,1955
134702,SMITHTOWN,83,928
112206,HUNTINGTON STATION,83,1284
170201,SOUTHOLD,84,1448
158712,PATCHOGUE,84,776
135005,SMITHTOWN,85,933
158006,PORT JEFFERSON STATION,86,1166
134906,SMITHTOWN,88,954
158310,PORT JEFFERSON,95,1028
158115,PORT JEFFERSON STATION,99,1018
134904,SMITHTOWN,102,1170
169704,RIVERHEAD,118,1483
159102,PATCHOGUE,123,996
158410,SHOREHAM,137,1732
