TRACT,PCSA_City,All_Discharges,Beneficiary_Population,Discharges_PC
147004,EAST ISLIP,18,68,0.2647058824
146605,SMITHTOWN,23,80,0.2875
123302,AMITYVILLE,26,85,0.3058823529
146206,EAST ISLIP,33,148,0.222972973
146102,BAY SHORE,36,145,0.2482758621
158707,PATCHOGUE,38,120,0.3166666667
159512,EAST MORICHES,41,133,0.3082706767
145901,BAY SHORE,45,215,0.2093023256
111504,HUNTINGTON STATION,47,171,0.2748538012
147503,EAST ISLIP,48,211,0.2274881517
158506,SMITHTOWN,53,170,0.3117647059
146706,BABYLON,53,202,0.2623762376
158108,PORT JEFFERSON STATION,53,201,0.263681592
122405,DEER PARK,53,252,0.2103174603
146403,EAST ISLIP,56,209,0.2679425837
124002,LINDENHURST,57,302,0.1887417219
158403,PORT JEFFERSON,57,192,0.296875
134903,SMITHTOWN,58,152,0.3815789474
169703,RIVERHEAD,60,272,0.2205882353
146205,BAY SHORE,60,221,0.2714932127
122704,DEER PARK,62,190,0.3263157895
145605,BAY SHORE,63,236,0.2669491525
146704,BAY SHORE,63,193,0.3264248705
159509,SHIRLEY,64,174,0.367816092
146404,EAST ISLIP,65,217,0.2995391705
146608,WEST SAYVILLE,65,243,0.2674897119
158205,PORT JEFFERSON,66,236,0.2796610169
122403,WYANDANCH,66,196,0.3367346939
146202,BAY SHORE,67,259,0.2586872587
159411,EAST MORICHES,67,187,0.3582887701
146611,PATCHOGUE,70,254,0.2755905512
190504,WESTHAMPTON BEACH,70,315,0.2222222222
122404,WEST BABYLON,71,243,0.29218107
147601,EAST ISLIP,71,329,0.2158054711
158203,PORT JEFFERSON STATION,72,373,0.1930294906
111001,HUNTINGTON,73,285,0.2561403509
146002,BAY SHORE,73,231,0.316017316
158408,SHOREHAM,74,171,0.432748538
123401,LINDENHURST,74,235,0.314893617
146201,BAY SHORE,74,264,0.2803030303
145603,BAY SHORE,74,263,0.2813688213
158512,SMITHTOWN,75,285,0.2631578947
122406,WYANDANCH,75,263,0.2851711027
146001,BAY SHORE,76,254,0.2992125984
158110,PORT JEFFERSON STATION,78,272,0.2867647059
158509,PORT JEFFERSON STATION,79,331,0.2386706949
146607,EAST ISLIP,79,270,0.2925925926
146203,BAY SHORE,81,351,0.2307692308
122705,DEER PARK,81,310,0.2612903226
145602,BAY SHORE,81,302,0.2682119205
112104,HUNTINGTON STATION,81,279,0.2903225806
111401,HUNTINGTON STATION,81,216,0.375
123201,AMITYVILLE,82,252,0.3253968254
145902,BAY SHORE,82,321,0.2554517134
158009,PORT JEFFERSON STATION,83,286,0.2902097902
122300,MASSAPEQUA,83,263,0.3155893536
158402,SHOREHAM,84,416,0.2019230769
159201,PATCHOGUE,85,254,0.3346456693
145702,BAY SHORE,87,329,0.26443769
124402,LINDENHURST,87,260,0.3346153846
158507,PORT JEFFERSON STATION,87,290,0.3
146703,BAY SHORE,89,309,0.28802589
122502,BABYLON,90,330,0.2727272727
124601,BABYLON,90,295,0.3050847458
158318,PORT JEFFERSON,91,362,0.2513812155
111602,NORTHPORT,91,367,0.2479564033
158705,PORT JEFFERSON,91,202,0.4504950495
146300,EAST ISLIP,91,322,0.2826086957
111804,EAST NORTHPORT,92,269,0.3420074349
135403,SMITHTOWN,92,341,0.2697947214
124101,LINDENHURST,93,394,0.2360406091
146204,BAY SHORE,94,315,0.2984126984
145808,SMITHTOWN,94,290,0.324137931
135201,SMITHTOWN,95,298,0.3187919463
122706,DEER PARK,96,374,0.256684492
122707,DEER PARK,96,287,0.3344947735
134704,SMITHTOWN,98,276,0.3550724638
190705,SOUTHAMPTON,100,388,0.2577319588
159000,PATCHOGUE,101,322,0.3136645963
111506,HUNTINGTON STATION,101,366,0.2759562842
158709,SHOREHAM,102,297,0.3434343434
158010,PORT JEFFERSON STATION,103,441,0.2335600907
145903,BAY SHORE,104,420,0.2476190476
111803,EAST NORTHPORT,104,371,0.2803234501
170101,GREENPORT,105,338,0.3106508876
158116,PORT JEFFERSON STATION,106,284,0.3732394366
147402,BAY SHORE,107,464,0.2306034483
201100,BAY SHORE,108,365,0.295890411
146604,SMITHTOWN,108,398,0.2713567839
122501,WYANDANCH,109,324,0.3364197531
146402,EAST ISLIP,109,403,0.270471464
147001,BAY SHORE,110,380,0.2894736842
146105,BAY SHORE,111,376,0.295212766
145703,BAY SHORE,111,312,0.3557692308
158607,PATCHOGUE,111,283,0.3922261484
158007,PORT JEFFERSON STATION,111,179,0.6201117318
135004,SMITHTOWN,112,513,0.2183235867
110502,HUNTINGTON,112,395,0.2835443038
147100,BAY SHORE,112,381,0.2939632546
112212,HUNTINGTON STATION,113,451,0.2505543237
123701,AMITYVILLE,113,430,0.2627906977
124001,LINDENHURST,113,389,0.2904884319
158405,SHOREHAM,113,482,0.234439834
190402,WESTHAMPTON BEACH,113,377,0.299734748
158710,SHOREHAM,115,271,0.4243542435
111201,HUNTINGTON STATION,116,276,0.4202898551
146103,BAY SHORE,117,385,0.3038961039
145804,SMITHTOWN,117,321,0.3644859813
123101,BABYLON,118,426,0.2769953052
158103,PORT JEFFERSON STATION,120,279,0.4301075269
110801,NORTHPORT,120,372,0.3225806452
110901,HUNTINGTON,121,380,0.3184210526
158609,SMITHTOWN,121,371,0.3261455526
122901,WEST BABYLON,122,426,0.2863849765
123102,BABYLON,122,363,0.3360881543
124500,BABYLON,123,478,0.2573221757
123002,WEST BABYLON,124,424,0.2924528302
158322,PORT JEFFERSON,124,440,0.2818181818
159407,EAST MORICHES,125,382,0.3272251309
110402,HUNTINGTON,125,414,0.3019323671
158708,PORT JEFFERSON,126,264,0.4772727273
146613,SMITHTOWN,128,394,0.3248730964
135101,SMITHTOWN,128,463,0.2764578834
111002,HUNTINGTON STATION,129,406,0.3177339901
158320,PORT JEFFERSON STATION,130,392,0.3316326531
111802,EAST NORTHPORT,130,472,0.2754237288
158401,SHOREHAM,130,293,0.4436860068
145704,BAY SHORE,131,495,0.2646464646
158804,PATCHOGUE,131,493,0.2657200811
123802,AMITYVILLE,131,313,0.4185303514
122602,DEER PARK,132,486,0.2716049383
110101,HUNTINGTON,134,490,0.2734693878
158604,SMITHTOWN,134,453,0.2958057395
134703,NORTHPORT,134,561,0.23885918
158505,SMITHTOWN,135,478,0.2824267782
124200,LINDENHURST,135,612,0.2205882353
135303,SMITHTOWN,135,422,0.3199052133
158309,PORT JEFFERSON,136,404,0.3366336634
146705,BABYLON,136,394,0.345177665
158608,SMITHTOWN,138,361,0.3822714681
145807,SMITHTOWN,138,441,0.3129251701
110401,HUNTINGTON,139,484,0.2871900826
159300,PATCHOGUE,139,520,0.2673076923
111703,NORTHPORT,139,468,0.297008547
158407,PORT JEFFERSON,140,346,0.4046242775
158605,PORT JEFFERSON STATION,140,459,0.3050108932
122802,DEER PARK,141,380,0.3710526316
180300,SHELTER ISLAND,142,690,0.2057971014
146106,BAY SHORE,142,596,0.2382550336
159103,PATCHOGUE,142,297,0.4781144781
159107,PATCHOGUE,143,405,0.3530864198
112211,SMITHTOWN,143,581,0.2461273666
112204,HUNTINGTON STATION,143,538,0.2657992565
158011,PORT JEFFERSON STATION,144,535,0.2691588785
190502,WESTHAMPTON BEACH,145,505,0.2871287129
146615,PATCHOGUE,145,439,0.3302961276
111601,NORTHPORT,145,448,0.3236607143
110902,HUNTINGTON STATION,145,427,0.3395784543
158508,PORT JEFFERSON STATION,146,533,0.2739212008
123001,WEST BABYLON,146,526,0.2775665399
159408,SHIRLEY,146,280,0.5214285714
112213,HUNTINGTON STATION,146,560,0.2607142857
124602,BABYLON,147,507,0.2899408284
159511,SHIRLEY,147,357,0.4117647059
146612,SMITHTOWN,147,505,0.2910891089
111704,EAST NORTHPORT,148,549,0.2695810565
158112,PORT JEFFERSON STATION,148,426,0.3474178404
147902,BAYPORT,149,516,0.2887596899
111202,HUNTINGTON STATION,150,452,0.3318584071
122902,WEST BABYLON,151,548,0.2755474453
123900,LINDENHURST,151,424,0.3561320755
158102,PORT JEFFERSON STATION,152,476,0.3193277311
158315,PORT JEFFERSON,152,504,0.3015873016
159404,SHIRLEY,152,428,0.3551401869
134902,SMITHTOWN,153,572,0.2674825175
110501,HUNTINGTON,153,467,0.3276231263
158206,PORT JEFFERSON,153,630,0.2428571429
158317,PORT JEFFERSON,154,488,0.3155737705
147802,WEST SAYVILLE,154,542,0.2841328413
146901,BABYLON,154,548,0.2810218978
135208,SMITHTOWN,155,522,0.2969348659
135102,SMITHTOWN,156,560,0.2785714286
190503,WESTHAMPTON BEACH,156,537,0.2905027933
135209,SMITHTOWN,157,508,0.3090551181
135104,SMITHTOWN,157,527,0.2979127135
158107,PORT JEFFERSON STATION,157,584,0.2688356164
123301,AMITYVILLE,157,494,0.3178137652
147401,BAY SHORE,157,621,0.2528180354
135103,SMITHTOWN,159,508,0.312992126
159602,EAST MORICHES,160,548,0.2919708029
145604,BAY SHORE,161,537,0.2998137803
123402,LINDENHURST,161,546,0.2948717949
124102,LINDENHURST,163,452,0.360619469
158510,PORT JEFFERSON STATION,164,466,0.3519313305
135301,SMITHTOWN,168,508,0.3307086614
146800,BABYLON,170,576,0.2951388889
158304,PORT JEFFERSON,170,801,0.2122347066
123801,AMITYVILLE,171,514,0.3326848249
158111,PORT JEFFERSON STATION,171,420,0.4071428571
146500,EAST ISLIP,176,556,0.3165467626
111402,HUNTINGTON STATION,177,669,0.264573991
135304,SMITHTOWN,177,501,0.3532934132
158114,PORT JEFFERSON STATION,177,561,0.3155080214
111300,HUNTINGTON,178,678,0.2625368732
135204,SMITHTOWN,179,624,0.2868589744
111505,HUNTINGTON STATION,180,677,0.2658788774
158323,PORT JEFFERSON,180,554,0.3249097473
135003,SMITHTOWN,182,535,0.3401869159
159508,SHIRLEY,182,486,0.3744855967
123702,AMITYVILLE,184,729,0.2524005487
135002,SMITHTOWN,185,577,0.3206239168
147701,WEST SAYVILLE,186,442,0.4208144796
158511,PORT JEFFERSON STATION,186,505,0.3683168317
159106,PATCHOGUE,186,321,0.5794392523
145701,SMITHTOWN,186,528,0.3522727273
134907,SMITHTOWN,187,609,0.3070607553
146902,BAY SHORE,188,598,0.3143812709
147901,BAYPORT,190,616,0.3084415584
159505,SHIRLEY,190,504,0.376984127
159203,PATCHOGUE,191,607,0.3146622735
123600,AMITYVILLE,193,708,0.2725988701
159406,EAST MORICHES,196,569,0.3444639719
124401,BABYLON,196,543,0.3609576427
110102,HUNTINGTON,196,728,0.2692307692
158207,PORT JEFFERSON,198,828,0.2391304348
112001,HUNTINGTON STATION,198,537,0.3687150838
190707,SOUTHAMPTON,198,705,0.2808510638
145805,SMITHTOWN,202,560,0.3607142857
147702,WEST SAYVILLE,202,600,0.3366666667
147803,WEST SAYVILLE,202,569,0.3550087873
135402,SMITHTOWN,203,814,0.2493857494
190403,HAMPTON BAYS,203,485,0.418556701
158104,PORT JEFFERSON STATION,203,561,0.3618538324
147501,EAST ISLIP,204,766,0.2663185379
190704,SOUTHAMPTON,205,859,0.2386495925
112102,HUNTINGTON STATION,205,723,0.2835408022
158802,PATCHOGUE,207,632,0.3275316456
200901,EAST HAMPTON,208,755,0.2754966887
111100,HUNTINGTON STATION,209,530,0.3943396226
147200,BAY SHORE,210,533,0.3939962477
147300,BAY SHORE,212,646,0.3281733746
190604,HAMPTON BAYS,216,515,0.4194174757
158711,PORT JEFFERSON,217,558,0.3888888889
147502,EAST ISLIP,217,689,0.3149492017
112210,SMITHTOWN,218,840,0.2595238095
122601,DEER PARK,219,612,0.3578431373
190708,EAST HAMPTON,219,746,0.2935656836
158321,PORT JEFFERSON,220,809,0.2719406675
201004,MONTAUK,221,775,0.2851612903
158001,PORT JEFFERSON STATION,222,688,0.3226744186
201003,EAST HAMPTON,224,673,0.3328380386
146614,SMITHTOWN,225,713,0.3155680224
147003,BAY SHORE,225,822,0.2737226277
159410,RIVERHEAD,226,747,0.3025435074
201001,EAST HAMPTON,229,771,0.2970168612
145803,SMITHTOWN,230,832,0.2764423077
158606,PORT JEFFERSON STATION,230,530,0.4339622642
146003,BAY SHORE,231,754,0.3063660477
122603,BABYLON,231,629,0.3672496025
110803,NORTHPORT,232,803,0.2889165629
159204,PATCHOGUE,232,546,0.4249084249
159108,PATCHOGUE,233,632,0.3686708861
110200,HUNTINGTON,233,854,0.2728337237
190601,HAMPTON BAYS,238,884,0.2692307692
169800,RIVERHEAD,240,724,0.3314917127
159506,SHIRLEY,242,509,0.4754420432
122801,DEER PARK,244,760,0.3210526316
159105,PATCHOGUE,246,684,0.3596491228
190401,RIVERHEAD,246,585,0.4205128205
123500,AMITYVILLE,249,795,0.3132075472
190603,HAMPTON BAYS,249,805,0.3093167702
158002,PORT JEFFERSON STATION,251,1005,0.2497512438
111900,HUNTINGTON,252,841,0.2996432818
111701,NORTHPORT,253,688,0.3677325581
170001,MATTITUCK,255,1069,0.2385406922
135401,SMITHTOWN,260,782,0.3324808184
169701,CALVERTON,264,896,0.2946428571
110300,HUNTINGTON,269,1024,0.2626953125
158803,PATCHOGUE,270,541,0.4990757856
112103,SMITHTOWN,281,815,0.3447852761
135205,SMITHTOWN,282,759,0.371541502
158502,SMITHTOWN,282,649,0.4345146379
111801,EAST NORTHPORT,284,920,0.3086956522
112002,HUNTINGTON STATION,285,858,0.3321678322
170002,SOUTHOLD,287,1062,0.2702448211
158319,PORT JEFFERSON STATION,288,522,0.5517241379
123202,AMITYVILLE,288,928,0.3103448276
146606,EAST ISLIP,289,869,0.332566168
158409,SHOREHAM,291,778,0.3740359897
158306,PORT JEFFERSON,295,858,0.3438228438
159412,EAST MORICHES,296,981,0.3017329256
200902,EAST HAMPTON,296,935,0.3165775401
147602,WEST SAYVILLE,297,983,0.3021363174
169902,MATTITUCK,307,1026,0.2992202729
158900,PATCHOGUE,312,736,0.4239130435
190800,SOUTHAMPTON,313,996,0.3142570281
124300,WEST BABYLON,321,826,0.3886198547
158308,PORT JEFFERSON STATION,322,815,0.3950920245
111503,HUNTINGTON STATION,327,808,0.4047029703
158202,PORT JEFFERSON,341,942,0.3619957537
147804,WEST SAYVILLE,343,821,0.4177831912
169901,RIVERHEAD,352,1214,0.2899505766
110600,NORTHPORT,360,1329,0.2708803612
158704,PORT JEFFERSON,361,1041,0.3467819404
190706,SOUTHAMPTON,362,756,0.4788359788
134702,SMITHTOWN,366,928,0.3943965517
170202,SOUTHOLD,368,1289,0.2854926299
135005,SMITHTOWN,373,933,0.3997856377
158712,PATCHOGUE,378,776,0.4871134021
159601,EAST MORICHES,382,1089,0.3507805326
134906,SMITHTOWN,387,954,0.4056603774
134904,SMITHTOWN,406,1170,0.347008547
158006,PORT JEFFERSON STATION,408,1166,0.3499142367
112206,HUNTINGTON STATION,410,1284,0.3193146417
170201,SOUTHOLD,411,1448,0.283839779
158115,PORT JEFFERSON STATION,443,1018,0.4351669941
112214,HUNTINGTON STATION,461,1955,0.2358056266
158310,PORT JEFFERSON,480,1028,0.46692607
169704,RIVERHEAD,499,1483,0.3364801079
159102,PATCHOGUE,509,996,0.5110441767
158410,SHOREHAM,713,1732,0.4116628176
